,show_type,title,ori_country,genre,is_NF_Ori,imdb_rating,rt_rating,country_chart,show_link,Continent,Year,Month
5702,Movie,Ocean's 8,USA,Crime,False,6.2,31.80110497237569,THA,https://flixpatrol.com/title/oceans-8,ASI,2018,6
5704,Movie,Skyscraper,USA,Action,False,6.1,48.0,THA,https://flixpatrol.com/title/skyscraper,ASI,2018,7
5706,Movie,Parasite,South Korea,Drama,False,8.0,99.0,THA,https://flixpatrol.com/title/parasite-2019,ASI,2019,5
5710,Movie,The Old Guard,USA,Superhero,True,8.2,80.0,THA,https://flixpatrol.com/title/the-old-guard,ASI,2020,7
5712,Movie,12 Strong,USA,War,False,6.6,50.0,THA,https://flixpatrol.com/title/12-strong,ASI,2018,1
5716,Short,Low Season,Denmark,Documentary,False,8.0,83.65040650406505,THA,https://flixpatrol.com/title/low-season,ASI,2020,3
5718,Movie,365 Days,Poland,Romance,False,3.5,0.0,THA,https://flixpatrol.com/title/365-days,ASI,2020,6
5719,TV Show,The King: Eternal Monarch,South Korea,Fantasy,True,8.7,83.80722891566265,THA,https://flixpatrol.com/title/the-king-eternal-monarch,ASI,2020,4
5722,Movie,X-Men: Apocalypse,USA,Superhero,False,7.2,48.0,THA,https://flixpatrol.com/title/x-men-apocalypse,ASI,2016,5
5724,Movie,Heartbeats,Thailand,Romance,False,6.2,31.80110497237569,THA,https://flixpatrol.com/title/heartbeats-2019,ASI,2019,12
5725,TV Show,Snowpiercer,USA,Science Fiction,True,6.1,62.0,THA,https://flixpatrol.com/title/snowpiercer-2020,ASI,2020,5
5726,Movie,Bikeman 2,Thailand,Comedy,False,6.1,47.11797752808989,THA,https://flixpatrol.com/title/bikeman-2,ASI,2019,10
5728,Movie,Khun Phaen Begins,Thailand,Action,False,7.1,54.85087719298246,THA,https://flixpatrol.com/title/khun-phaen-begins,ASI,2019,10
5730,Movie,Love and Run,Thailand,Comedy,False,6.4,42.30769230769231,THA,https://flixpatrol.com/title/love-and-run,ASI,2019,9
5732,Movie,Extraction,USA,Action,True,7.0,68.0,THA,https://flixpatrol.com/title/extraction-2020,ASI,2020,4
5736,Movie,Zengo,Turkey,Comedy,False,2.6,0.0,TUR,https://flixpatrol.com/title/zengo,ASI,2020,3
5737,TV Show,Lucifer,USA,Superhero,True,8.3,87.0,TUR,https://flixpatrol.com/title/lucifer,ASI,2016,1
5740,Movie,Baba Parasi,Turkey,Comedy,False,6.1,47.11797752808989,TUR,https://flixpatrol.com/title/baba-parasi,ASI,2020,1
5743,TV Show,Behzat Ç.,Turkey,Crime,False,6.5,38.16,TUR,https://flixpatrol.com/title/behzat-ç-bir-ankara-polisiyesi,ASI,2010,9
5744,Movie,The Pocket Hercules Naim,Turkey,Drama,False,8.6,0.0,TUR,https://flixpatrol.com/title/the-pocket-hercules-naim,ASI,2019,11
