,Title,Type,Premiere,Genre,WM
257,Brooklyn Nine-Nine,TV Show,2013.0,Comedy,54.8
258,Carinha de Anjo,TV Show,2016.0,Comedy,54.4
259,Alias J.J.,TV Show,2017.0,Drama,54.4
260,The Circle,TV Show,2020.0,Reality-Show,54.4
261,The Ultimatum: Queer Love,TV Show,2023.0,Reality-Show,53.8
262,Never Have I Ever,TV Show,2020.0,Comedy,53.7
263,Brooklyn Nine-Nine,TV Show,2013.0,Comedy,53.6
264,¡Que viva México!,Movie,2022.0,Comedy,53.5
265,Emily in Paris,TV Show,2020.0,Drama,53.3
266,The Last Kingdom,TV Show,2015.0,History,53.3
267,Full Swing,TV Show,2023.0,Documentary,53.1
268,The Walking Dead,TV Show,2010.0,Horror,53.0
269,Welcome to Eden,TV Show,2022.0,Science Fiction,53.0
270,We Can Be Heroes,Movie,2020.0,Adventure,52.8
271,Arnold,TV Show,2023.0,Documentary,52.5
272,Better Call Saul,TV Show,2015.0,Crime,52.5
273,The King's Affection,TV Show,2021.0,Drama,52.4
274,Shameless,TV Show,2011.0,Comedy,52.3
275,Missing: Dead or Alive?,TV Show,2023.0,Crime,52.2
276,Bodyguard,TV Show,2018.0,Action,52.0
277,The Lorax,Movie,2012.0,Animation,52.0
278,1899,TV Show,2022.0,Science Fiction,51.8
279,A Tourist’s Guide to Love,Movie,2023.0,Comedy,51.8
280,It's Okay to Not Be Okay,TV Show,2020.0,Drama,51.8
281,Vikings,TV Show,2013.0,History,51.8
282,Faraway,Movie,2023.0,Comedy,51.7
283,Blood & Gold,Movie,2023.0,Action,51.6
284,Soy Georgina,TV Show,2022.0,Reality-Show,51.6
285,The Blacklist,TV Show,2013.0,Crime,51.6
286,Little Women,TV Show,2022.0,Thriller,51.3
287,Grey's Anatomy,TV Show,2005.0,Drama,51.2
288,The Walking Dead,TV Show,2010.0,Horror,51.2
289,The Office,TV Show,2005.0,Comedy,51.0
290,The Last Kingdom,TV Show,2015.0,History,50.9
291,The Endless Night,TV Show,2023.0,Drama,50.8
292,Faithfully Yours,Movie,2022.0,Thriller,50.6
293,Masha and the Bear,TV Show,2009.0,Animation,50.4
294,Masha and the Bear,TV Show,2009.0,Animation,50.3
295,The Office,TV Show,2005.0,Comedy,50.1
296,2 Hearts,Movie,2020.0,Romance,50.0
297,Suits,TV Show,2011.0,Drama,50.0
298,Tin & Tina,Movie,2023.0,Horror,49.7
299,The Blacklist,TV Show,2013.0,Crime,49.6
300,Friends,TV Show,1994.0,Comedy,49.4
301,Love Is Blind: Brazil,TV Show,2021.0,Reality-Show,49.3
302,Vinland Saga,TV Show,2019.0,Animation,49.3
303,Nuevo Rico Nuevo Pobre,TV Show,2007.0,Drama,49.2
304,The Lincoln Lawyer,TV Show,2022.0,Drama,49.2
305,Brooklyn Nine-Nine,TV Show,2013.0,Comedy,48.9
306,Cobra Kai,TV Show,2018.0,Action,48.9
307,Orange Is the New Black,TV Show,2013.0,Drama,48.8
308,The End of Paradise,TV Show,2019.0,Crime,48.6
309,Shooter,TV Show,2016.0,Action,48.6
310,Brooklyn Nine-Nine,TV Show,2013.0,Comedy,48.5
311,Rosario Tijeras,TV Show,2016.0,Action,48.5
312,The Smurfs,TV Show,2021.0,Animation,48.4
313,Emily in Paris,TV Show,2020.0,Drama,48.3
314,The Magician's Elephant,Movie,2023.0,Animation,48.3
315,Friends,TV Show,1994.0,Comedy,48.2
316,Shrek,Movie,2001.0,Animation,48.1
317,Suits,TV Show,2011.0,Drama,48.1
318,Teen Titans Go!,TV Show,2013.0,Animation,48.1
319,American Manhunt: The Boston Marathon Bombing,TV Show,2023.0,Documentary,47.9
320,Twenty Five Twenty One,TV Show,2022.0,Comedy,47.8
321,Shrek 2,Movie,2004.0,Animation,47.5
322,JUNG_E,Movie,2023.0,Science Fiction,47.1
323,Friends,TV Show,1994.0,Comedy,46.9
324,The School for Good and Evil,Movie,2022.0,Fantasy,46.9
325,Puss in Boots,Movie,2011.0,Animation,46.6
326,The Thundermans,TV Show,2013.0,Science Fiction,46.5
